product_name,ingredients_text,serving_size
Seashells,"Ingredients: durum wheat semolina(enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mono-nitrate, riboflavin, folic acid]).",56 g (2 oz)
"Enriched Macaroni, Tomato And Spinach Macaroni Product, Tricolor Rotini","Ingredients: semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate, roboflavin, folic acid]), tomato solids, dried spinach.",56 g (2 oz)
"Enriched Macaroni Product, Linguini Traditional","Ingredients: durum wheat semolina, (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate,riboflavin, folic acid]).",56 g (2 oz)
Penne Rigate,"Ingredients: durum wheat semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mono-nitrate, riboflavin, folic acid]).",56 g (2 oz)
"Enriched Macaroni Product, Fusilli Traditional","Durum wheat semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mono-nitrate, riboflavin, folic acid]).",56 g (2 oz)
Traditional Enriched Macaroni Product,"Ingredients:durum wheat semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate, riboflavin, folic acid]).",56 g (2 oz)
Pizza Sauce,"Tomato concentrate (water, tomato paste), high fructose corn syrup, salt, soybean oil, spices, olive oil, citric acid.",63 g (0.25 cup)
Tomato Sauce,"Tomatoes concentrate (water, tomato paste), salt, onion powder, garlic powder, citric acid, natural flavors, dried bell pepper.",61 g (0.25 cup)
Cooking Spray,"Soybean oil*, soy lecithin, natural flavors, dimethyl silicone (for anti-foaming), beta carotene (color), propellant. *adds a trivial amount of fat.",0.25 g (0.25 g)
Original Cooking Spray,"Canola oil*, soy lecithin, dimethyl silicone (for anti-foaming), propellant. *adds a trivial amount of fat.",0.25 g (0.25 g)
"Instant Rice, White Rice","Enriched precooked long grain rice [rice, niacin, iron (ferric orthophosphate), thiamin mononitrate), folic acid].",55 g (0.5 cup)
Whipped Cream Cheese Spread,"Pasteurized milk and cream, cheese culture, salt, stabilizers (carob bean and/or xanthan and/or guar gums), natamycin (a natural mold inhibitor).",20 g (2 Tbsp)
"Rice Cakes, Caramel Corn","Whole grain brown rice, corn (with germ removed), sugar, corn syrup, salt, caramel color, soy lecithin.",13 g (13 g)
Light Apple Juice Cocktail,"Filtered water, apple juice concentrate, sucralose, natural apple flavor, malic acid, caramel color, ascorbic acid (vitamin c).",240 ml (8 fl oz)
Light Juice Cocktail,"Filtered water, apple juice concentrate, cherry juice concentrate, citric acid, grape juice concentrate, natural flavors, ascorbic acid (vitamin c), sucralose.",240 ml (8 fl oz)
"Mushrooms, Stems & Speces","Mushrooms, water, citric acid, ascorbic acid.",130 g (0.5 cup)
Mushrooms Stems & Pieces,"Mushrooms, water, salt, citric acid, ascorbic acid",130 g (0.5 cup)
"Taco Shells, Crunchy","Stone ground corn flour, coconut oil, water, trace of lime.",32 g (32 g)
100% Juice,"Water, pineapple juice from concentrate, ascorbic acid (vitamin c).",240 ml (8 fl oz)
Diced Tomatoes Fire Roasted With Garlic,"Unpeeled tomatoes, tomato juice, salt, dehydrated garlic, calcium chloride, citric acid.",121 g (0.5 cup)
"Party Peanuts, Salted","Peanuts, peanut and/or canola and/or cottonseed oil, sea salt.",28 g (1 oz)
Pasteurized Ricotta Cheese,"Pasteurized whey, pasteurized milk, vinegar, stabilizer (modified food starch, guar gum, carrageenan), salt.",62 g (0.25 cup)
Pasteurized Ricotta Cheese,"Pasteurized whey, pasteurized milk, vinegar, salt, stabilizer (modified food starch, guar gum, carrageenan), vitamin a palmitate.",62 g (0.25 cup)
Tonic Water,"Carbonated water, high fructose corn syrup, citric acid, natural flavor, quinine hydrochloride.",355 ml (12 fl oz)
Soup Mix,"Ingredients: onions*, salt, cornstarch, sugar, caramel (color), corn syrup solids, yeast extract, natural flavor. *dried",7 g (1 Tbsp)
Instant Nonfat Dry Milk,"Nonfat dry milk, vitamin a plamitate, vitamin d3.",23 g (0.333 cup)
Tomato Sauce,"Tomato concentrate (water, tomato paste), water, onion powder, garlic powder, citric acid, natural flavors, dried bell pepper.",61 g (0.25 cup)
"Almonds, Roasted & Salted","Almonds roasted in peanut and/or cottonseed oil, salt.",28 g (1 oz)
Spicy Brown Mustard,"Distilled vinegar, #1 mustard seed, salt, spices, turmeric.",5 g (1 tsp)
Yellow Mustard,"Distilled vinegar, #1 mustard seed, salt, turmeric, spices.",5 g (1 tsp)
Diced Water Chestnuts,"Water chestnuts, water, citric acid (to protect color).",116 g (0.5 cup)
Mozzarella & Cheddar Sticks,"Pasteurized part skim milk, cream and skim milk, cheese cultures, salt, annatto color, enzymes.",24 g (24 g)
Light Mozzarella String Cheese,"Pasteurized part skim milk, cheese cultures, salt, enzymes, vitamin a palmitate.",24 g (24 g)
"Spread, Hazelnut","Sugar, vegetable oil (palm and rapeseed oil), hazelnuts, cocoa powder, skim milk, whey, lactose, sunflower lecithin (emulsifier), natural vanilla flavor.",31 g (2 Tbsp)
Fresh Selection Roasted & Salted Almonds,"Almonds, cottonseed and/or peanut oil, salt.",36 g (0.25 cup)
"Fresh Selections, Roasted & Salted Cashews","Cashews, cottonseed and/or peanut oil, salt.",32 g (0.25 cup)
Roasted & Salted Deluxe Mix,"Almonds, (natural and blanched almonds), cashews, pecans, brazil nuts, hazelnuts (filberts), shelled, pistachios, cottonseed and/or peanut oil, salt.",36 g (0.25 cup)
Sunflower Kernels,"Sunflower kernels, cottonseed and/or peanut oil, salt.",34 g (0.25 cup)
Unbleached & Enriched Flour,"Ingredients: unbleached wheat flour enriched (niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), malted barley flour.",30 g (0.25 cup)
Enriched Unbleached Flour,"Unbleached wheat flour enriched (niacin reduced iron, thiamine mononitrate, riboflavin, folic acid), malted barley flour.",30 g (0.25 cup)
Real Milk Chocolate Baking Chips,"Sugar, cocoa butter, milk, chocolate liquor, soy lecithin, vanilla.",15 g (15 g)
Real Semi-Sweet Chocolate Baking Chips,"Sugar, chocolate liquor, cocoa butter, butterfat (milk), soy lecithin, vanilla.",15 g (15 g)
Flake Coconut Sweetened,"Coconut, sugar, water, propylene glycol (sustains freshness), salt, sodium metabisulfite (preservatives whiteness).",15 g (2 Tbsp)
Sweetened Coconut Flake,"Coconut, sugar, water, propylene glycol (sustains freshness), salt, sodium metabisulfite (preserves whiteness).",15 g (2 Tbsp)
Taco Seasoning Mix,"Spices (including chili pepper, paprika), onion, whey (milk), salt, sugar, garlic, potato starch, citric acid.",6 g (2 tsp)
Soy Sauce,"Water, hydrolyzed soy protein, salt, corn syrup, caramel color, citric acid and potassium sorbate (preservative)",15 ml (1 Tbsp)
Worcestershire Sauce,"Distilled vinegar, molasses, water, salt, high fructose corn syrup, sugar, caramel color, hydrolyzed soy protein, garlic powder, anchovies, natural flavors.",5 ml (1 tsp)
All-Purpose Vegetable Shortening,"Partially hydrogenated soybean and cottonseed oil, vegetable mono and diglycerides.",13 g (1 Tbsp)
Vegetable Shortening,"Partially hydrogenated soybean and cottonseed oils, vegetablemono and diglycerides, natural and artificial flavors, beta-carotene (color).",13 g (1 Tbsp)
Iodized Salt,"Salt, sodium silicoaluminate, dextrose, potassium iodide 0.006% and sodium bicarbonate.",1.5 g (0.25 tsp)
Black Tea,Ingredients: orange pekoe and cut black tea.,106 g (3.75 oz)
100% Natural Black Tea,Orange pekoe and cut black tea.,227 g (8 oz)
Black Tea,Naturally decaffeinated orange pekoe and cut black tea.,85 g (3 oz)
Creamy Almond Butter,"Dry roasted almonds, organic unrefined cane sugar, palm oil, sea salt",32 g (2 Tbsp)
Cooking Spray,"Extra virgin olive oil*, soy lecithin, dimethyl silicone (for anti-foaming), propellant. *adds a trivial amount of fat.",0.25 g (0.25 g)
Bacon Chips,"Textured vegetable protein (soy flour, caramel color, and fd&c red # 3), soybean oil, salt, natural flavor.",7 g (1 Tbsp)
Shredded Wheat Bite Size Whole Grain  Cereal,100% whole grain wheat. bht added to packaging material to help preserve freshness.,50 g (1.25 cup)
Enriched White Hominy Quick Grits,"Ingredients: white hominy grits made from corn, niacin*, reduced iron, thiamin mononitrate*, riboflavin*, folic acid*. *one of the b vitamins",37 g (3 Tbsp)
Marshmallows Regular,"Corn syrup, sugar, dextrose, modified food starch (corn), water, gelatin, natural and artificial flavor, tetrasodium pyrophosphate.",30 g (30 g)
Microwave Kettle Corn Popcorn,"Popcorn, palm oil, salt, natural and artificial flavors, sucralose.",33 g (2 Tbsp)
Microwave Popcorn,"Popcorn, palm oil, salt, natural and artificial flavors, color added (annatto).",33 g (3 Tbsp)
"Microwave Popcorn, Extra Butter","Popcorn, palm oil with tbhq, salt, natural and artificial flavors, color added (annatto).",33 g (3 Tbsp)
"Peanuts, Butter Toffee","Peanuts, sugar, butter* (cream [milk], salt), sea salt, peanut and/ or canola and/or cottonseed oil, artificial flavor (vanillin).",28 g (1 oz)
"Dry Honey Roasted Peanuts, Salted","Peanuts, sugar, honey, high fructose, corn syrup, sea salt, cornstarch, xanthan gum.",28 g (1 oz)
Lightly Salted Roasted Peanuts,"Peanuts, sea salt, maltodextrin, corn starch.",28 g (1 oz)
"Honey Roasted Peanuts, Salted","Peanuts, sugar, peanut and/or canola and/or cottonseed oil, honey, modified potato starch, sea salt, xanthan gum.",28 g (1 oz)
Lightly Salted Mixed Nuts,"Blanched and unblanched peanuts, cashews, almonds, brazil nuts, hazelnuts, pecans, peanut and/or canola and/or cottonseed oil, sea salt.",28 g (1 oz)
"Halves & Pieces Cashews, Salted","Cashews, peanut and/or canola and/or cottonseed oil, sea salt.",28 g (1 oz)
Whole Salted Cashews,"Cashews, canola and/or peanut and/or cottonseed oil, sea salt.",28 g (1 oz)
"Deluxe Mixed Nuts, Salted","Cashews, almonds, brazil nuts, hazelnuts, pecans, peanut and/or canola and/or canola and/or cottonseed oil, sea salt.",28 g (1 oz)
"Dry Roasted Peanuts, Salted","Peanuts, sea salt, cornstarch, paprika.",28 g (1 oz)
"Dry Roasted Peanuts, Salted","Peanuts, sea salt, cornstarch, paprika",28 g (1 oz)
Mandarin Oranges In Light Syrup,"Mandarin oranges, water, sugar, ascorbic acid (vitamin c) to protect color, citric acid.",113 g (113 g)
Calcium Added Orange Juice,"Concentrated orange juice, calcium phosphate*, calcium lactate* (*ingredients not found in regular orange juice ).",60 ml (8 FL OZ PREPARED | CONCENTRATE MAKES)
"Frozen Concentrate Juice, Pink Lemonade","High fructose corn syrup, water, concentrated lemon juice, lemon pulp, concentrated grape juice sugar syrup, lemon oil.",45 ml (3 Tbsp)
Orange Juice,"Concentrated orange juice, orange pulp.",60 ml (8 FL OZ PREPARED | CONCENTRATE MAKES)
Sliced Peaches,"Peaches, ascorbic acid and citric acid to promote color retention.",140 g (1 cup)
Swiss Cheese,"Pasteurized part- skim milk, cheese culture, salt, and enzymes.",28 g (1 INCH CUBE)
Natural Monterey Jack Cheese,"Pasteurized milk, cheese culture, slat and enzymes.",28 g (1 oz)
New York Sharp Cheddar Cheese,"Pasteurized milk, cheese culture, salt, enzymes and annatto [vegetable color]",28 g (1 oz)
Colby Jack,"Pasteurized milk, cheese cultures, salt, enzymes and annatto [vegetable color].",28 g (1 oz)
String Mozzarella Cheese,"Pasteurized part skim milk, cheese cultures, salt, enzymes.",28 g (28 g)
"Cream Cheese Spread, Original","Pasteurized milk and cream, whey, cheese culture, salt, stabilizers (carob bean and/or xanthan and/or guar gums), sorbic acid (preservative).",30 g (2 Tbsp)
"Country Style Orange Juice From Concentrate, Orange","100% orange juice from concentrate (filtered water, concentrated orange juice), orange juice pulp.",240 ml (8 fl oz)
"Orange Juice, Orange","100% orange juice from concentrate (filtered water, concentrated orange juice), tricalcium phosphate*, calcium lactate*, vitamin d3*.",240 ml (8 fl oz)
"Pure Premium Graperfruit Juice, Ruby Red",100% pure and natural grapefruit juice.,240 ml (8 fl oz)
Sliced Strawberries In Sugar,"Strawberries, sugar syrup (water and sugar).",140 g (0.5 cup)
Old Fashioned Hardwood Smoked Bacon,"Ingredients: bacon (cured with water, salt, sugar, smoke flavoring, sodium phosphate, sodium erythorbate, sodium nitrite).",15 g (15 g)
Deli Selections Provolone Cheese,"Pasteurized milk, cheese culture, salt and enzymes.",21 g (21 g)
100% Grated Parmesan Cheese,"Cow's milk, cheese culture, salt, enzymes. powdered cellulose added to prevent caking.",5 g (2 tsp)
100% Grated Parmesan Cheese,"Parmesan cheese (cultured, pasteurized part-skim milk, salt, enzymes), powdered cellulose (added to prevent caking), potassium sorbate (a preservative).",5 g (2 tsp)
"Cream Cheese, Original","Pasteurized milk and cream, cheese culture, salt, stabilizers (carob bean and/or xanthan guar gums).",28 g (1 oz)
Fat Free Yogurt,"Cultures pasteurized grade a nonfat milk, modified food starch, gelatin.",227 g (1 cup)
Pulp Free Orange Juice,"100% orange juice from concentrate (filtered water, concentrated orange juice).",240 ml (8 fl oz)
"Pure Michigan, Fat Free Milk","Fat free milk, vitamin a palmitate, vitamin d3.",240 ml (1 cup)
Pure Michigan Vitamin A & D Fat Free Milk,"Fat free milk, vitamin a plamitate, vitamin d3.",240 ml (1 cup)
"Baked Beans, Maple Cured Bacon","Prepared white beans, water, sugar, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder).",130 g (0.5 cup)
"Garbanzo Beans, Chick Peas","Prepared chick peas, water, salt, calcium chloride (firming agent), disodium edta to promote color retention.",130 g (0.5 cup)
Mozzarella String Cheese,"Pasteurized part skim milk,cheese cultures, salt, enzymes.",28 g (28 g)
"Diced Green Chilies, Mild","Green chiles, water, salt, citric acid, calcium chloride.",28 g (1 oz)
Sliced Jalapeno Peppers Pickels,"Jalapeno peppers, water, distilled vinegar, salt, calcium chloride, garlic.",30 g (3 Tbsp)
"Jelly, Concord Grape","Concord grape juice (water and concord grape juice concentrate ), corn syrup, high fructose corn syrup,pectin,citric acid,sodium citrate",20 g (1 Tbsp)
Diced Pears,"Diced pears, water, sugar, ascorbic acid (vitamin c) to protect color, citric acid.",113 g (113 g)
Colby Jack Stick Cheese,"Pasteurized milk, cheese cultures, salt, enzymes, annatto color.",24 g (24 g)
Candy Chews,"Corn syrup, sugar, coconut oil, salt, soy lecithin, egg whites, artificial banana flavor, fd&c yellow 5.",40 g (40 g)
Chocolate Peanut Clusters,"Peanuts, milk chocolate [sugar, cocoa butter, chocolate liquor, milk, soy lecithin, vanillin (artificial flavor)].",42 g (3 PIECES)
"Flavored Mints, Peppermint","Sugar, corn syrup, dextrose, gum arabic, gum tragacanth, peppermint oil.",1 g (1 g)
Candy Gummies,"Corn syrup, sugar, corn starch, modified corn starch, artificial cherry flavor, artificial colors (red 40), carnauba wax.",40 g (40 GRM)
Cool Fresh Mint,"Sugar, corn syrup, dextrose, gelatin, peppermint oil, vegetable gums (gum tragacanth, arabic and xanthan), & fd&c red 3.",2 g (2 GRM)
Hot Hearts Candy,"Sugar, corn syrup, dextrose, glycerine, artificial cinnamon flavor, gelatin, vegetable gums [tragacanth, xanthan and arabic], artificial colors [red 40].",14 g (14 PIECES)
"Necco, Old Fashioned Candy Buttons","Sugar, corn starch, gelatin, artificial flavors, coconut oil, fd&c colors [red 3, yellow 5, blue 1].",7 g (7 g)
"Necco, Canada Mints","Sugar, corn syrup, dextrose, glycerine, gelatin, vegetable gums [gum tragacanth, arabic & xanthan], peppermint oil.",6 g (6 g)
Real Chocolate Nonpareils,"Sweet chocolate [sugar, chocolate liquor, cocoa butter, soy lecithin (emulsifier), vanillin (artificial flavor)], seeds [seeds contain sugar & corn starch].",49 g (12 PIECES)
"63% Cacao Dark Chocolate Covered With Thins Mints, Thin Mints","Sugar, bittersweet chocolate [chocolate liquor, sugar, cocoa butter, anhydrous milk fat, soy lecithin], corn syrup, egg whites, peppermint oil, invertase.",42 g (42 g)
"Haviland, Dark Chocolate Covered Thin Mints","Sugar, bittersweet chocolate [chocolate liquor, sugar, cocoa butter, butter oil, soy lecithin], corn syrup, peppermint oil, soy protein, invertase.",42 g (42 g)
Diced Tomatoes,"Tomatoes, tomato juice, salt, calcium chloride, citric acid.",121 g (0.5 cup)
Premium Chunk White Chicken In Water,"White chicken meat, water, modified corn starch, salt, sodium phosphates.",56 g (2 oz)
"Fruit Cocktail, In Light Syrup","Diced peaches, diced pears, water, grapes, corn syrup, pineapple segments, halved cherries artificially colored red with carmine and sugar.",126 g (0.5 cup)
Mustard,"Distilled vinegar, no. 1 mustard seed, salt, turmeric and spice.",5 g (1 tsp)
"Potato Chips, Original","Potatoes, sunflower oil and/or corn oil, salt",28 g (28 g)
"Hot Sauce, Louisiana Style","Aged red cayenne peppers, distilled vinegar, salt, xanthan gum.",5 ml (1 tsp)
Pearl Onion Stuffed Olives,"Olives, water, onion, salt, lactic acid, sodium bisulfite (added to stabilize color).",16 g (2 OLIVES)
"Medium Salsa, Peach And Pineapple","Tomato puree (water, tomato paste), tomatoes, peaches, jalapeno peppers, pineapple, sugar, vinegar, dehydrated onion, salt, dehydrated cilantro, natural flavor.",31 g (2 Tbsp)
"Peanuts, Party","Peanuts roasted in peanut and/or cottonseed and/or sunflower seed and/or canola oil, salt.",28 g (1 oz)
Brown Basmati Indian Rice,Basmati long grain brown rice.,42 g (0.25 cup)
Mozzarella Cheese,"Pasteurized part-skim milk, cheese cultures, salt, and enzymes.",28 g (1 oz)
Linguine,"Semolina wheat flour, niacin, iron (ferrous sulfate), thiamine mononitrte, riboflavin, folic acid.",56 g (2 ONZ)
Celery Salt,"Salt, ground celery seed, and tricalcium phosphate.",1 g (0.25 tsp)
Chili Powder,"Chili pepper, garlic, oregano, cumin, salt, and silicon dioxide.",0.7 g (0.25 tsp)
Poultry Seasoning,"Salt, sage, thyme, oregano, ground mustard, basil, red pepper, and black pepper.",1.5 g (0.75 tsp)
Bacon Bits,"Textured soy flour, partially hydrogenated vegetable oil (soybean), salt, natural & artificial flavors, dextrose, fd&c red #3 and 40.",7 g (1 Tbsp)
100% White Grape Juice,"Filtered water, grape juice, grape juice concentrate, citric acid, ascorbic acid (vitamin c), potassium metabisulfite (preservative).",240 ml (8 fl oz)
Bean Sprouts In Water,"Bean sprouts, water, citric acid.",130 g (0.5 cup)
Whole Fancy Water Chestnuts,"Water chestnuts, water, citric acid",110 g (0.5 cup)
"World Classics Trading Company, Whole Baby Corn In Water","Young baby corn, water, salt, ascorbic acid, citric acid.",100 g (5 PIECES)
Marinated Mushrooms With Old World Italian Style Seasonings,"Mushrooms, water distilled vinegar, soybean oil, salt, garlic, parsley, oregano, mustard powder.",30 g (2 Tbsp)
Marinated Mushrooms Portabellas With Red Peppers,"Portabella mushrooms, roasted red peppers (peppers, water, vinegar, sugar, salt), water, vinegar, soybean oil, garlic, slat, oregano and marjoram.",30 g (2 Tbsp)
Garlic & Herb Italian Style Seasonings,"Mushrooms, water, distilled vinegar, sweet red peppers (peppers, water, vinegar, citric acid, salt, sugar, calcium chloride) garlic, salt, oregano, marjoram.",30 g (2 Tbsp)
Authentic Worcestershire Sauce,"Distilled vinegar, sugar, water, molasses, salt, caramel color, spices, natural flavor, garlic powder, polysorbate 60, anchovies, tamarind.",5 ml (1 tsp)
Original Cream Cheese,"Pasteurized cultured milk and cream, salt, stabilizers (xanthan, locust bean, and guar gums).",28 g (2 Tbsp)
Dijon Mustard,"Distilled vinegar, mustard seed, water, salt, white wine, citric acid, tartaric acid, turmeric, spices.",5 g (1 tsp)
Deli Style Mustard With Horseradish,"Distilled vinegar, water, mustard seed, salt, dehydrated horseradish, spices.",5 g (1 tsp)
Honey Mustard,"Distilled vinegar, water, mustard seed, high fructose corn syrup, honey, mustard flour, salt, sugar, artificial flavoring, turmeric, dehydrated garlic, spice.",5 g (1 tsp)
"World Classics Trading Company, Italian Style White Clam Sauce","Clams and clam juice soybean oil, garlic, modified corn starch, parsley, olive oil, salt, yeast extract, and natural flavors.",120 ml (0.5 cup)
"World Classics Trading Company, Sparkling Soda, Lemonade","Carbonated water, sugar, natural flavor (including lemon juice) citric acid, arabic gum, glycerol ester of wood rosin.",240 ml (8 fl oz)
Panko Japanese - Style Bread Crumbs,"Bleached wheat flour, sugar, salt, yeast.",28 g (0.5 cup)
Puffed Wheat Cereal,"Durum wheat, iron (ferric orthophosphate), niacinamide, vitamin b1 (thiamine mononitrate), vitamin b6 (pyridoxine hydrochloride), vitamin b2 (riboflavin).",17 g (1 cup)
Puffed Rice Cereal,"Rice, iron (ferric orthophosphate), niacinamide, vitamin b1 (thiamine mononitrate), vitamin b2 (riboflavin).",17 g (1 cup)
Mixed Vagatables,"Water, carrots, potatoes, celery, sweet peas, green beans, corn, lima beans, salt, calcium chloride (to maintain firmness), onion flavoring.",125 g (0.5 cup)
Chicken Broth,"Chicken stock (water, concentrated chicken stock), contains less than 2% of: salt, yeast extract, cane sugar, carrot powder.",240 ml (1 cup)
Apple Sauce,"Apples, corn syrup, high fructose corn syrup, water, ascorbic acid (to maintain color).",113 g (1 BOWL)
Sweetened Condensed Filled Milk,"Nonfat milk, sugar, palm oil, vitamin a palmitate, riboflavin.",39 g (2 Tbsp)
Vegetable Oil Cooking Spray,"Soybean oil*, soy lecithin, dimethyl silicone(for anti-foaming), also contains propellant to dispense spray. *adds a trivial amount of fat.","0.25 g (0.25 SEC, SPRAY)"
"Pasta Sauce, Marinara","Ground tomatoes in puree, imported olive oil, fresh onions, salt, garlic, basil, spices.",120 g (0.5 cup)
Tomato Basil Pasta Sauce,"Tomato puree (water, tomato paste), diced tomatoes in juice, imported olive oil, fresh onions, basil, sugar, salt, dehydrated garlic, spices.",121 g (0.5 cup)
"Pasta Sauce, Traditional","Water, tomato past, salt, modified food starch, sugar, soybean oil, dried onion, citric acid, dried garlic, spices, dried parsley.",126 g (0.5 cup)
Meat Flavor Pasta Sauce,"Water, tomato paste, salt, modified food starch, sugar, beef, soybean oil, dried onion, citric acid, dried garlic, spice, dried parsley.",126 g (0.5 cup)
Mushroom Pasta Sauce,"Water, tomato paste, mushrooms, salt, modified food starch, sugar, soybean oil, dried onion, citric acid, dried garlic, spices, dried parsley.",126 g (0.5 cup)
Decorating Sanding Sugar,"Sugar, fd&c yellow #6, carnauba wax, confectioner's glaze.",4 g (1 tsp)
Decorating Bee Yellow Sanding Sugar,"Sugar, carnauba wax, confectioner's glaze and fd&c yellow #5.",4 g (1 tsp)
Freshly Frozen Mixed Vegetables,"Carrots, corn, green beans, peas.",90 g (0.666 cup)
Drink,"Water, high fructose corn syrup, citric acid, sodium benzoate (preservative), potassium sorbate (preservative), artificial flavor, sodium saccharin, fd&c blue no.1.",240 ml (1 cup)
"Decorating Sanding Sugar, Really Orange","Sugar, yellow 6, carnauba wax, confectioner's glaze.",4 g (1 tsp)
Rich Brown Sanding Sugar,"Sugar, rd 40, yellow 6, blue 2, carnauba wax, confectioner's glaze.",4 g (1 tsp)
"Boulder Burger Company, Angus Beef Patties, Vidalia Onion","Angus beef, vidalia onion, encapsulated salt (salt, partially hydrogenated soybean oil), seasoning (potassium chloride, maltodextrin, natural flavors), spice, natural flavor.",151 g (5.3 oz)
"Party Peanuts, Salted & Roasted","Peanuts, roasted in peanut, and/or cottonseed, and/or sunflower seed, and/or canola oil, salt.",28 g (1 oz)
Salted & Roasted Cashew Pieces,"Cashews, roasted in peanut, and/or cottonseed, and/or sunflower seed, and/or canola oil, salt.",28 g (1 oz)
Burgers,"White turkey, sea salt, natural flavor, black pepper.",151 g (1 BURGER)
Corned Beef With Juices,"Cooked beef, beef, water, salt, sugar, sodium nitrite.",56 g (0.25 cup)
"Cape Covelle Seafood Market, Raw Shrimp","Shrimp, salt, sodium tripolyphosphate (to retain moisture).",112 g (7 RAW SHRIMP | ABOUT)
Pollock Fillets,"Pollock, sodium tripolyphosphate (to retain moisture)",112 g (4 ONZ)
Salmon Fillets,Pink salmon sodium tripoly phosphate (to retain moisture).,112 g (4 ONZ)
Cod Fillets,"Cod, sodium tripolyphosphate (to retain moisture).",112 g (4 ONZ)
Swai Fillets,"Swai, sodium tripolyphosphate (to retain moisture).",112 g (4 ONZ)
Decorating Glam Green Sanding Sugar,"Sugar, carnauba wax, confectioner's glaze, yellow #5, blue #1.",4 g (1 tsp)
Wispy White Decorating Sanding Sugar,"Pure cane confectioner's sanding sugar, carnauba wax, confectioner's glaze.",4 g (1 tsp)
Frost Blue Sanding Sugar Decorating,"Sugar, carnauba wax, confectioner's glaze and fd&c blue #2.",4 g (1 tsp)
"Sixlets Candy Coated Chocolate, Totaly Orange","Sugar, corn starch, confectioner's glaze, yellow 5, red 3, blue 1, carnauba wax, red 40, yellow 6, blue 2.",4 g (1 tsp)
Plain Greek Nonfat Yogurt,"Cultured pasteurized skim milk. contains live and active cultures including s. thermophilus, l. bulgaricus, l. acidophilus, bifidus, and l. casei.",150 g (1 CONTAINER)
Greek Nonfat Yogurt,"Cultured pasteurized skim milk, sugar, honey, pectin, locust bean gum, calcium chloride.",150 g (1 CONTAINER)
Greek Nonfat Yogurt,"Cultured pasteurized skim milk, sugar, raspberries, pectin, locust bean gum, vegetable juice for color, natural flavor and citric acid.",150 g (1 CONTAINER)
Mustard,"Vinegar, water, mustard seed, salt, turmeric. paprika.",5 g (1 tsp)
Really Orange Non-Pareils Decorating,"Sugar, corn starch, confectioners glaze, yellow 5, red 3, carnauba wax.",4 g (1 tsp)
Let It Snow Decorating Non-Pareils,"Sugar, corn starch, confectioners glaze, yellow 5, red 3, blue 1, carnauba wax, red 40), yellow 6, blue 2.",4 g (1 tsp)
Really Black Sanding Sugar,"Sugar, confectioner's glaze carnauba wax, blue 1, red 3, yellow 5, red 40, may contain (yellow 6, blue 2).",4 g (1 tsp)
Nonfat Greek Yogurt,"Cultured pasteurized skim milk, sugar, pectin, natural flavor, locust bean gum, coconut oil, calcium phosphate.",150 g (1 CONTAINER)
American Wild Shrimp,"Wild caught american shrimp, water, sodium phosphates, citric acid, and salt.",112 g (4 ONZ)
"Iced Tea Mix, Lemon","Sugar, citric acid, instant tea, caramel color, natural lemon flavor with other natural flavors, artificial color (red 40).",18 g (1.33 Tbsp)
Cashew Pieces,"Cashwes, peanut and/or cottonseed and/or sunflower seed and/or canola oil, salt.",28 g (1 ONZ)
"Decorating Jimmies, Royal Purple","Sugar, cornstarch, hydrogenated palm kernel oil, soya lecithin, gum arabic, confectioner's glaze, fd&c red #3 and fd&c blue #1 lake.",4 g (1 tsp)
Decorating Really Black Jimmies,"Sugar, cornstarch, haydrogenated palm kernel oil, cocoa powder, soya lecithin,, gum arabic. confectioner's glaze.",4 g (1 tsp)
"Decorating Jimmies, Ocean Blue","Sugar, cornstarch, hydrogenated palm kernel oil, soya lecithin, gum arabic, confectioner's glaze, fd&c blue #1 lake.",4 g (1 tsp)
Decorating Really Orange Jimmies,"Sugar, cornstarch, hydrogenated palm kernel oil, soya lecithin, gum arabic, confectioner's, glaze, yellow #5 lake, yellow #6 lake.",4 g (1 tsp)
Decorating Bee Yellow Jimmies,"Sugar, cornstarch, hydrogenated palm kernel oil, soya lecithin, gum arabic, confectioner's glaze, fd&c yellow #5 and fd&c yellow #5 lake.",4 g (1 tsp)
Decorating Rosy Red Jimmies,"Sugar, cornstarch hydrogenated palm kernel oil, soya lecithin, gum arabic, confectioner's glaze, fd&c red #40 lake.",4 g (1 tsp)
Stewed Tomatoes,"Tomatoes, tomato juice, sugar, salt, dried onion, dried celery, dried bell peppers, spices, calcium chloride, citric acid, natural flavors.",121 g (0.5 cup)
Apple Juice,"Concentrated apple juice, water, ascorbic acid (vitamin c), malic acid (for tartness).",60 ml (8 FL OZ OF FINISHED PREPARED PRODUCT. | MAKES)
Bartlett Pear Halves In Light Syrup,"Pears, water, high fructose corn syrup, corn syrup and sugar.",126 g (0.5 cup)
Sliced Carrots,"Carrots, water, salt, calcium chloride (to maintain firmness).",120 g (0.5 cup)
