product_name,ingredients_text,serving_size
Banana Chips Sweetened,"Bananas, vegetable oil(coconut oil, corn oil, and/or palm oil)sugar, natural banana flavor",28 g (1 oz)
Chili Mango,"Dried mango, paprika, sugar, salt, citric acid, and cayenne.",40 g (3 PIECES)
Peanuts,"Peanuts, wheat flour, sugar, rice flour, tapioca starch salt, leavening(ammonium bicarbonate, baking soda), soy sauce(water, soybean, wheat salt), potato starch.",28 g (0.25 cup)
Sweetened Dried Cranberries,"Apple juice concentrate, cranberries, sunflower oil",40 g (0.333 cup)
Organic Thompson Raisins,"Organic select thompson seedless raisins, and organic sunflower oil.",40 g (0.25 cup)
Organic Unrefined Extra Virgin Coconut Oil,Organic unrefined extra virgin coconuts oil,14 g (1 Tbsp)
Butter Croissants,"Wheat flour, butter (cream), water, yeast, sugar, salt, eggs, wheat gluten, ascorbic acid, enzymes.",77 g (1 CROISSANT)
Belgian Vanilla Waffle,"Unbleached wheat flour, sugar, vegetable fat non hydrogenated, water, yeast, eggs, butter, soy flour, salt, vanilla.",85 g (1 WAFFLE)
Apple & Cinnamon Tea,"Tea, cinnamon & natural apple flavor.",1.5 g (1 TEA BAG)
Artichoke Herbal Tea,Artichoke malva senna leaf hibiscus chamomile natural apple flavor.,30 g (1.06 oz)
Dieter's Herbal Tea,"Andropogon citratus, uva ursi, hibiscus flowers, cinnamon, equisetum arvense, flourensia cernua.",45 g (1.61 oz)
"Kidneytea, Herbal Tea",Shave grass corn silk uva ursi juliana astringen boldo hibiscus flowers orange blossom.,30 g (1.06 oz)
Bronchtea,Eucalyptus licorice ginger elder mullein cinnamon orange blossom.,1 g (1 g)
Lithuanian Rye Bread,"Rye flour, water, wheat, flour, malt, molasses, sugar, onion, yeast, caraway seeds, salt.",57 g (57 g)
Monterey Jack,"Pasteurized milk, cheese cultures, salt and enzymes.",28 g (1 oz)
"Big Papa's, Southern Sauce","Catsup, vinegar, brown sugar, apricots, enzymes pepper, sugar, garlic salt, pepper and liquid smoke, worcestershire sauce and secret spices.",32 g (2 Tbsp)
Knusperflakes Mit Knusprigen Cornflakes,"Sugar, cocoa butter, cream powder (16%), corn (11%), cocoa mass, lactose, emulsifier: lecithin (soy), salt barley malt, natural flavor.",25 g (0.25 BAR)
Milk Chocolate With Caramelized Almonds,"Sugar, cocoa butter, cocoa mass, whole milk powder, almonds (7.7%), lactose, skim milk powder, butterfat, emulsifier: lecithin (soy), natural flavor.",25 g (0.25 BAR)
"Funsch, High Quality Marzipan","Sugar, almonds, water, sorbitol, invert sugar, food coloring, turmeric, carmine, fd&c blue @1: egg white",100 g (100 GRM)
The Best Peanut Butter Cookies,"Only the best: un-bleached flour, 100% organic peanut butter, peanuts, creamery butter, un-refined sugar, whole egg.",28 g (6 COOKIES)
Best Sweet-Potato Cookies,"Bart & judy's proprietary rice flour blend, butter, sweet potato, cranberries, brown cane sugar, whole egg, baking soda, salt.",34 g (11 COOKIES)
Best Ginger Snap Cookies,"Bart & judy's proprietary rice flour blend, butter, fresh ground ginger, brown cane sugar, molasses, whole egg, baking soda, salt.",34 g (11 COOKIES)
"Ice Cream, Vanilla","Milk, cream, sugar, corn syrup, guar gum, locust bean gum, natural vanilla flavor, vanilla beans, lactase enzyme*.",71 g (0.5 cup)
"Ice Cream, Butter Pecan","Milk, cream, sugar, corn syrup, pecans (pecans, cottonseed oil, salt), natural flavor, guar gum, locust bean gum, lactase enzyme*",71 g (0.5 cup)
Salted Sticks & Salted Pretzels,"Wheat flour, salt (4,8%), palm oil, acidity regulator (sodium hydroxide), malted wheat flour, emulsifier (mono-und diglyderides of fatty acids).",30 g (30 GRM)
Sea Salt Potato Chips,"Unpeeled potatoes, sunflower oil, sea salt.",28 g (1 oz)
Solid Milk Chocolate,"Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin - an emulafier, vanllan - an artificial flavor)",56 g (7 PCS)
"Madelaine Chocolate Company, Chocolate","Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin -an emulsifier, vanillin - an artificial flavor).",40 g (40 GRM)
Milk Chocolate Rose,"Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin (an emulsifier), vanillin - an artificial flavor).",21 g (1 ROSE)
Solid Dark Chocolate,"Semi-sweet chocolate: (sugar, chocolate liquor processed with alkali, cocoa butter, milk fat, soy lecithin, vanillin-an artificial flavor, natural flavors).",40 g (1.4 ONZ)
White Chocolate,"White chocolate: (sugar, cocoa butter, milk, vanillin an artificial flavor).",40 g (0.25 RABBIT | ABOUT)
"The Madelaine Chocolate Company, Solid Milk Chocolate Cigars","Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin-an emulsifier, vanillin-an artificial flavor).",43 g (2 CIGARS)
"Madelaine Chocolate, It's A Girl! Solid Milk Chocolate Cigars, Milk Chocolate","Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin - an emulsifier, vanillin-an artificial flavor).",43 g (2 CIGARS)
"The Madelaine Chocolate Company, All Natural Dark Chocolate Gift Stick","Bittersweet chocolate (chocolate, sugar, cocoa butter, soy lecithin-an emulsifier, vanilla).",38 g (5 HEARTS)
"The Madelaine Chocolate Company, Solid Milk Chocolate","Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin-an emulsifier, vanillian-an artificial flavor).",40 g (7 BALLS)
"The Madelaine Chocolate Company, Solid Dark Chocolate","Semi-sweet chocolate: (sugar, chocolate processed with alkali, cocoa butter, milk fat, soy lecithin-an emulsifier, vanillian-an artificial flavor, natural flavors).",40 g (7 BALLS)
"The Madelaine Chocolate Company, Solid Milk Chocolate","Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin- an emulsifier, vanillian-an artificial flavor).",36 g (5 SNOWMAN FACES)
"The Madelaine Chocolate Comapny, Solid Milk Chocolate","Milk chocolate (sugar, milk, cocoa butter, chocolate. soy lecithinan emulsifier, vanillian-an artificial flavor).",38 g (5 HEARTS)
"The Madelaine Chocolate Company, Solid Milk Chocolate","Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin- an emulsifier, vanillian-an artificial flavors).",36 g (5 EGGS)
"The Madelaine Chocolate Company, Solid Dark Chocolate","Semi-sweet chocolate (sugar, chocolate processed with alkali, cocoa butter, milk fat, soy lecithin-an emulsifier, vanilla-an artificial flavor, natural flavors).",36 g (5 EGGS)
"The Madelaine Chocolate Company, Solid Milk Chocolate Bunnies","Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin (an emulsifier), vanillin-an-artificial flavor),",35 g (4 BUNNIES)
"The Madelaine Chocolate Company, Solid Milk Chocolate Chicks","Mix chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin (an emulsifier), vanillin-an artificial flavor).",38 g (4 CHICKS)
Cornichons,"Gherkins (cucumbers), water, vinegar, salt, onions,mustgard seeds, tarragon, garlic pepper, natural flavor, contains sulfities.",28 g (28 g)
"Ryan's, Juice Melange, Fuji Pom Blend","Fuji apple cider, apple cider, pomegranate juice.",240 ml (8 fl oz)
"Ryan's, Lemonade","Filtered water, lemon juice, pure cane sugar.",240 ml (8 fl oz)
"Ryan's, Spiced Apple Cider","Apple cider, natural flavor and spice.",240 ml (8 fl oz)
"Ryan's, Pink Lady, Apple Cider","Pink lady apple cider, apple cider.",240 ml (8 fl oz)
"Ryan's, Opal Blend Melange, Apple Cider","Opal apple cider, apple cider.",240 ml (8 fl oz)
"Lite, Fine Chocolate Candy Bar, Dark Chocolate","Maltitol, chocolate liquor, cocoa butter, inulin (natural vegetable fiber), soy lecithin, vanilla, cinnamon.",25 g (25 g)
Freeze-Dried Apple Slices,"Fuji apples, ascorbic acid, citric acid.",10 g (1 BAG)
"Wholesome & Delicious Dried Cranberries, Concord Grape","Cranberries, sugar, natural flavors, sunflower oil.",40 g (0.25 cup)
"Dried Cranberries, Blueberry","Cranberries, sugar, natural flavors,sunflower oil.",40 g (0.25 cup)
Dried Mediterranean Apricots,"Dried apricots, natural flavors, sulfur dioxide (to preserve flavor), citric acid, ascorbic acid, malic acid.",40 g (0.25 cup)
Dried Honey Crisp Apples,"Honey crisp apples, sulfur dioxide (to preserve freshness).",40 g (0.25 cup)
Wholesome & Delicious Dried Mangos,"Mango, sugar, mango juice, sulfur dioxide (to preserve flavor), citric acid.",40 g (40 g)
"Triple Fruit Treat, Mango, Cranberries, Blueberries","Cranberries, mangos, blueberries, sugar, sunflower oil, sulfur dioxide (to preserve flavor).","23 g (1 BAG, PER CONTAINER)"
Red Apple Chips,"Apples, sodium sulphite (to preserve freshness).",28 g (1 ONZ)
Tnt Exploding Candy,"Sucrose, lactose (milk), corn syrup solids, natural and artificial flavor, fd&c blue 1, processed with carbon dioxide for popping effect.",3 g (1 POUCH)
Exploding Candy,"Sucrose, lactose (milk), corn syrup solids, natural and artificial flavor, fd&c yellow 5, processed with carbon dioxide for popping effect.",3 g (1 POUCH)
"Bee, Creamed Honey With Raspberry, Raspberry","Pure raw honey, whole organic raspberries",21 g (1 Tbsp)
"Bee, Creamed Honey With Cinnamon, Cinnamon","Pure raw honey, organic cinnamon",21 g (1 Tbsp)
"Bee, Creamed Honey With Lemon","Pure raw honey, lemon juice",21 g (1 Tbsp)
Creamed Honey With Hibiscus,"Pure raw honey, whole organic hibiscus flowers",21 g (1 Tbsp)
Creamed Honey With Lemon,"Pure raw honey, lemon juice.",10 g (1.5 tsp)
Creamed Honey With Raspberry,"Pure raw honey, real raspberries.",10 g (1.5 tsp)
"Minis, Creamed Honey With Hibiscus","Pure raw honey, real hibiscus flowers.",10 g (1.5 tsp)
Raw Shrimp,"Shrimp salt, sodium phosphate (to retain moisture)",85 g (3 ONZ)
Yellow Corn Tortilla Chips,"Stone ground organic yellow corn, expeller pressed safflower or sunflower oil, salt and lime.",28 g (1 oz)
Blueberry Pomegranate Crunch,"Ingredients: dry roasted almonds, cashews, pistachios, pure cane sugar, rice syrup, dried blueberries, pomegranate powder, sea salt and natural flavors.",28 g (1 oz)
"Guiltless Gourmet, Organic Unsweetened Coconut Water","Organic coconut water, ascorbic acid.",250 ml (8.45 fl oz)
Pitted Prunes,Pitted california dried plums with potassium sorbate as a preservative.,40 g (11.2 oz)
Caperberries In Vinegar,"Caperberries, water, vinegar and salt.",28 g (1 oz)
Hazelnut Spread With Cocoa,"Sugar, palm oil, hazelnuts, cocoa, skim, milk, whey (milk), lecithin as emulsifier (soy), vanillin: an artificial flavor.",37 g (2 Tbsp)
"La Eur, 3 Milk Soft Ripened Cheese","Pasteurized cow milk, pasteurized sheep milk, pasteurized goat milk, salt, rennet.",28 g (1 oz)
Diced In Tomato Juice,"Organic tomatoes, organic tomato juice, sea salt, citric acid, calcium chloride.",130 g (0.5 cup)
Strawberry Preserves,"Strawberries, corn syrup, high fructose corn syrup, sugar, citric acid, fruit pectin.",20 g (1 Tbsp)
Tofu Firm,"Water, organic whole soybeans, calcium sulfate, magnesium chloride.",79 g (79 g)
Sweet Cooking Rice Seasoning,"Glucose syrup, water, alcohol, rice, corn syrup, salt",30 ml (2 Tbsp)
Imported Olive Oil,"Refined olive oil, extra virgin olive oil.",15 ml (1 Tbsp)
"Traders Joe's, Baking Powder","Monocalcium phosphate, sodium bicarbonate, cornstarch.",0.6 g (0.12 tsp)
Salsa Autentica,"Tomatoes, fresh yellow chile, distilled vinegar (from corn), salt, onion, spice.",30 g (2 Tbsp)
"First Crush, Unsweetened Gravenstein Apple Sauce","Whole peeled, cored gravenstein apples and well water.",122 g (0.5 cup)
